Date,Amount,Category
2026-07-01,15.50,Dining
2026-07-02,45.00,Shopping
2026-07-03,80.00,Entertainment
2026-07-04,12.00,Transport
2026-07-05,150.00,Shopping
2026-07-06,22.40,Dining
2026-07-07,18.00,Transport
2026-07-08,95.00,Shopping
2026-07-09,35.00,Dining
2026-07-10,1200.00,Rent
2026-07-11,40.00,Entertainment
2026-07-12,15.00,Transport
2026-07-13,65.00,Shopping
2026-07-14,30.00,Dining
2026-07-15,10.00,Transport
2026-07-16,55.00,Shopping
2026-07-17,42.50,Dining
2026-07-18,120.00,Entertainment
2026-07-19,8.50,Transport
2026-07-20,110.00,Shopping
2026-07-21,28.00,Dining
2026-07-22,14.00,Transport
2026-07-23,75.00,Shopping
2026-07-24,38.00,Dining
2026-07-25,90.00,Entertainment
2026-07-26,11.50,Transport
2026-07-27,210.00,Shopping
2026-07-28,32.00,Dining
2026-07-29,19.00,Transport
2026-07-30,85.00,Shopping
2026-07-31,50.00,Dining
